"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVisits","density"
"62",3,0.9375,15,1,1,1,16,"2",1,10,0.5,4,1
"63",3,0.973063973063973,35.030303030303,0.828501414857491,0.828501414857491,0.828501414857491,36,"3",1,10,0.5,4,1
"64",3,1.29640151515152,82.969696969697,0.671202025389285,0.671202025389285,0.671202025389285,64,"4",1,10,0.5,4,1
"65",3,1.73160173160173,48.4848484848485,0.581669986732962,0.581669986732962,0.581669986732962,28,"5",1,10,0.5,4,1
"66",4,1.25,5,1,1,1,4,"1",1,10,0.5,4,1
"67",4,1.0625,17,1,1,1,16,"2",1,10,0.5,4,1
"68",4,1.37891737891738,49.6410256410256,0.662900068768379,0.662900068768379,0.662900068768379,36,"3",1,10,0.5,4,1
"69",4,1.4625,93.6,0.591751709536137,0.591751709536137,0.591751709536137,64,"4",1,10,0.5,4,1
"70",4,1.58791208791209,44.4615384615385,0.514928749927334,0.514928749927334,0.514928749927334,28,"5",1,10,0.5,4,1
"71",5,0.5,2,1,1,1,4,"1",1,10,0.5,4,1
"72",5,1,16,1,1,1,16,"2",1,10,0.5,4,1
"73",5,1.36692506459948,49.2093023255814,0.744623040772375,0.744623040772375,0.744623040772375,36,"3",1,10,0.5,4,1
"74",5,1.44034090909091,92.1818181818182,0.607767729723632,0.607767729723632,0.607767729723632,64,"4",1,10,0.5,4,1
"75",5,1.59006211180124,44.5217391304348,0.469669914110089,0.469669914110089,0.469669914110089,28,"5",1,10,0.5,4,1
"76",6,1.5,6,1,1,1,4,"1",1,10,0.5,4,1
"77",6,1.125,18,1,1,1,16,"2",1,10,0.5,4,1
"78",6,1.30555555555556,47,1,1,1,36,"3",1,10,0.5,4,1
"79",6,1.36444805194805,87.3246753246753,0.753067600837603,0.753067600837603,0.753067600837603,64,"4",1,10,0.5,4,1
"80",6,1.45833333333333,40.8333333333333,0.622035526990773,0.622035526990773,0.622035526990773,28,"5",1,10,0.5,4,1
"81",7,0.75,3,1,1,1,4,"1",1,10,0.5,4,1
"82",7,0.6875,11,1,1,1,16,"2",1,10,0.5,4,1
"83",7,0.948148148148148,34.1333333333333,0.75,0.75,0.75,36,"3",1,10,0.5,4,1
"84",7,1.47521551724138,94.4137931034483,0.535009445024723,0.535009445024723,0.535009445024723,64,"4",1,10,0.5,4,1
"85",7,2.25,63,0.422649730810374,0.422649730810374,0.422649730810374,28,"5",1,10,0.5,4,1
"86",8,0.75,3,1,1,1,4,"1",1,10,0.5,4,1
"87",8,0.5625,9,1,1,1,16,"2",1,10,0.5,4,1
"88",8,1.25064599483204,45.0232558139535,0.849244327711118,0.849244327711118,0.849244327711118,36,"3",1,10,0.5,4,1
